ward,year,streets,lighting,parks,schools,cameras,misc,arts,trees,other,libraries
16,2016,909099.99,410900,0,0,0,0,0,0,0,0
16,2017,1309499.99,500,0,0,0,0,10000,0,0,0
16,2018,767990.25,552000,0,0,0,0,0,0,0,0
17,2012,808000,512000,0,0,0,0,0,0,0,0
17,2013,925223,392600,0,0,2177,0,0,0,0,0
17,2014,939019,360400,0,0,20323,0,0,0,0,0
17,2015,1317848,2150,0,0,0,0,0,0,0,0
17,2016,1269999.99,0,0,0,0,0,50000,0,0,0
17,2017,1307499.99,2500,0,0,0,0,10000,0,0,0
17,2018,1292488.99,500,0,0,27011,0,0,0,0,0
18,2012,937649,382350,0,0,0,0,0,0,0,0
18,2013,1320001,0,0,0,0,0,0,0,0,0
18,2014,865853,448000,0,0,0,0,0,0,0,0
18,2015,1319997,0,0,0,0,0,0,0,0,0
18,2016,1269549.99,450,50000,0,0,0,0,0,0,0
18,2017,1309499.99,500,0,0,0,0,10000,0,0,0
18,2018,1086999.99,233000,0,0,0,0,0,0,0,0
19,2012,1291429,700,0,0,0,20515,0,0,0,0
19,2013,1142962,53300,123738,0,0,0,0,0,0,0
19,2014,1238268,0,30380,0,0,0,0,0,0,0
19,2015,1319997,0,0,0,0,0,0,0,0,0
19,2016,1319999.96,0,0,0,0,0,0,0,0,0
19,2017,1311856.52,0,0,0,0,0,8000,0,0,0
19,2018,1269999.99,0,50000,0,0,0,0,0,0,0
20,2012,1242288,77300,0,0,0,0,0,0,0,0
20,2013,1012374,306350,0,0,0,0,0,0,0,0
20,2014,1318210,600,0,0,0,0,0,0,0,0
20,2015,1305668,14332,0,0,0,0,0,0,0,0
20,2016,1213905.4,50544.59,0,0,0,0,55550,0,0,0
20,2017,1176622.07,5377.92,0,0,0,0,138000,0,0,0
20,2018,1139568.39,176000,0,0,1800,0,0,0,0,0
21,2012,1320001,0,0,0,0,0,0,0,0,0
21,2013,1319383,0,0,0,0,0,0,0,0,0
21,2014,1319441,559,0,0,0,0,0,0,0,0
21,2015,1317724,641,0,0,0,0,0,0,0,0
21,2016,1310699.99,9300,0,0,0,0,0,0,0,0
21,2017,1308999.99,1000,0,0,0,0,10000,0,0,0
21,2018,1319999.99,0,0,0,0,0,0,0,0,0
22,2012,507742,661850,0,0,0,150000,0,0,0,0
22,2013,1225500,72000,0,0,22500,0,0,0,0,0
22,2014,857657,1100,375000,0,0,85700,0,0,0,0
22,2015,1143203,27800,99000,0,0,50000,0,0,0,0
22,2016,1054123.99,450,75000,0,27011,0,0,163415,0,0
22,2017,1184099.99,900,125000,0,0,0,10000,0,0,0
22,2018,1179999.99,0,0,140000,0,0,0,0,0,0
23,2012,1064001,6000,250000,0,0,0,0,0,0,0
23,2013,965888,0,354112,0,0,0,0,0,0,0
23,2014,1272355,3500,0,43802,0,0,0,0,0,0
23,2015,994315,0,195888,129800,0,0,0,0,0,0
23,2016,1313999.58,6000,0,0,0,0,0,0,0,0
23,2017,1236999.99,83000,0,0,0,0,0,0,0,0
23,2018,1129988.99,2000,0,161000,27011,0,0,0,0,0
24,2012,1156562,162900,0,0,0,539,0,0,0,0
24,2013,1005998,291500,0,0,22500,0,0,0,0,0
24,2014,1274990,0,0,0,45000,0,0,0,0,0
24,2015,1305000,0,0,0,0,0,0,0,0,0
24,2016,974709.95,0,264257,0,81033,0,0,0,0,0
24,2017,1262546.99,26710,20743,0,0,0,10000,0,0,0
24,2018,983979.49,106983,75000,0,154037.5,0,0,0,0,0
25,2012,929426,3350,184724,50000,67500,85000,0,0,0,0
25,2013,601223,96000,460276,0,22500,140000,0,0,0,0
25,2014,1089798,100100,62242,0,67500,0,0,0,0,0
25,2015,1175887,5800,137758,0,0,0,0,0,0,0
